session_id,round,decision_index,stage,current_player,state,legal_actions,chosen_action,reward,done
20250401144436,2,3,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'J', 'player2_card': 'A', 'pot': 4, 'chips': '14;6;6', 'betting_history': 'check,check,bet,fold,fold', 'highest_bet': 1, 'last_bettor': 2}","[2, 3, 4]",3,-1,True
20250401144437,3,0,first,0,"{'round': 3, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 3, 'chips': '13;5;9', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-2,False
20250401144438,3,1,first,1,"{'round': 3, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 4, 'chips': '13;4;9', 'betting_history': 'check,bet', 'highest_bet': 1, 'last_bettor': 1}","[0, 1]",1,-2,True
20250401144439,3,2,first,2,"{'round': 3, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 5, 'chips': '13;4;8', 'betting_history': 'check,bet,call', 'highest_bet': 1, 'last_bettor': 1}","[2, 3, 4]",2,4,True
20250401144440,3,3,first,0,"{'round': 3, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 6, 'chips': '12;4;8', 'betting_history': 'check,bet,call,call', 'highest_bet': 1, 'last_bettor': 1}","[2, 3, 4]",2,-2,True
20250401144441,3,0,second,1,"{'round': 3, 'stage': 'second', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 6, 'chips': '12;4;8', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-2,False
20250401144442,3,1,second,2,"{'round': 3, 'stage': 'second', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 7, 'chips': '12;4;7', 'betting_history': 'check,bet', 'highest_bet': 2, 'last_bettor': 2}","[0, 1]",1,4,True
20250401144443,3,2,second,0,"{'round': 3, 'stage': 'second', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 7, 'chips': '12;4;7', 'betting_history': 'check,bet,fold', 'highest_bet': 2, 'last_bettor': 2}","[2, 3, 4]",3,-2,True
20250401144444,3,3,second,1,"{'round': 3, 'stage': 'second', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 7, 'chips': '12;4;7', 'betting_history': 'check,bet,fold,fold', 'highest_bet': 2, 'last_bettor': 2}","[2, 3, 4]",3,-2,True
20250401144445,4,1,first,0,"{'round': 4, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '10;3;13', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,2,True
20250401144446,4,2,first,1,"{'round': 4, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '10;3;13', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",3,-1,True
20250401144447,4,3,first,2,"{'round': 4, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '10;3;13', 'betting_history': 'bet,fold,fold', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",3,-1,True
20250401144448,5,1,first,0,"{'round': 5, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 4, 'chips': '12;2;12', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,-2,False
20250401144449,5,1,first,1,"{'round': 5, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 6, 'chips': '12;0;12', 'betting_history': 'bet,raise', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",4,5,True
20250401144450,5,2,first,2,"{'round': 5, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 8, 'chips': '12;0;10', 'betting_history': 'bet,raise,call', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",2,-3,True
20250401144451,5,3,first,0,"{'round': 5, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 8, 'chips': '12;0;10', 'betting_history': 'bet,raise,call,fold', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",3,-2,True
20250401144452,5,0,second,1,"{'round': 5, 'stage': 'second', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 8, 'chips': '12;0;10', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,5,True
20250401144453,5,1,second,2,"{'round': 5, 'stage': 'second', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 8, 'chips': '12;0;10', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-3,True
20250401144454,6,0,first,0,"{'round': 6, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 3, 'chips': '11;7;9', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-2,False
20250401144455,6,1,first,1,"{'round': 6, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 4, 'chips': '11;6;9', 'betting_history': 'check,bet', 'highest_bet': 1, 'last_bettor': 1}","[0, 1]",1,3,True
20250401144456,6,2,first,2,"{'round': 6, 'stage': 'first', 'current_player': 2, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 4, 'chips': '11;6;9', 'betting_history': 'check,bet,fold', 'highest_bet': 1, 'last_bettor': 1}","[2, 3, 4]",3,-1,True
20250401144457,6,3,first,0,"{'round': 6, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 5, 'chips': '10;6;9', 'betting_history': 'check,bet,fold,call', 'highest_bet': 1, 'last_bettor': 1}","[2, 3, 4]",2,-2,True
20250401144458,6,1,second,1,"{'round': 6, 'stage': 'second', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 6, 'chips': '10;5;9', 'betting_history': 'bet', 'highest_bet': 2, 'last_bettor': 1}","[0, 1]",1,3,True
20250401144459,6,2,second,0,"{'round': 6, 'stage': 'second', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 6, 'chips': '10;5;9', 'betting_history': 'bet,fold', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",3,-2,True
20250401144500,7,0,first,0,"{'round': 7, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '9;10;8', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250401144501,7,1,first,1,"{'round': 7, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '9;10;8', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250401144502,7,2,first,2,"{'round': 7, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '9;10;8', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,2,True
20250401144503,8,1,first,0,"{'round': 8, 'stage': 'first', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 4, 'chips': '7;9;10', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,5,True
20250401144504,8,2,first,1,"{'round': 8, 'stage': 'first', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 5, 'chips': '7;8;10', 'betting_history': 'bet,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,-3,True
20250401144505,8,3,first,2,"{'round': 8, 'stage': 'first', 'current_player': 2, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 6, 'chips': '7;8;9', 'betting_history': 'bet,call,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,-2,True
20250401144506,8,0,second,0,"{'round': 8, 'stage': 'second', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 6, 'chips': '7;8;9', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,5,False
20250401144507,8,1,second,1,"{'round': 8, 'stage': 'second', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 7, 'chips': '7;7;9', 'betting_history': 'check,bet', 'highest_bet': 2, 'last_bettor': 1}","[0, 1]",1,-3,False
20250401144508,8,2,second,2,"{'round': 8, 'stage': 'second', 'current_player': 2, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 7, 'chips': '7;7;9', 'betting_history': 'check,bet,fold', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",3,-2,True
20250401144509,8,1,second,0,"{'round': 8, 'stage': 'second', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 9, 'chips': '5;7;9', 'betting_history': 'check,bet,fold,raise', 'highest_bet': 3, 'last_bettor': 0}","[2, 3, 4]",4,5,True
20250401144510,8,2,second,1,"{'round': 8, 'stage': 'second', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 9, 'chips': '5;7;9', 'betting_history': 'check,bet,fold,raise,fold', 'highest_bet': 3, 'last_bettor': 0}","[2, 3, 4]",3,-3,True
20250401144511,9,0,first,0,"{'round': 9, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 3, 'chips': '13;6;8', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250401144512,9,1,first,1,"{'round': 9, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 3, 'chips': '13;6;8', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250401144513,9,2,first,2,"{'round': 9, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 3, 'chips': '13;6;8', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,2,True
20250401144514,10,1,first,0,"{'round': 10, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 4, 'chips': '11;5;10', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,6,False
20250401144515,10,2,first,1,"{'round': 10, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 4, 'chips': '11;5;10', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",3,-1,True
20250401144516,10,1,first,2,"{'round': 10, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 6, 'chips': '11;5;8', 'betting_history': 'bet,fold,raise', 'highest_bet': 2, 'last_bettor': 2}","[2, 3, 4]",4,-5,False
20250401144517,10,1,first,0,"{'round': 10, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 8, 'chips': '9;5;8', 'betting_history': 'bet,fold,raise,raise', 'highest_bet': 3, 'last_bettor': 0}","[2, 3, 4]",4,6,True
20250401144518,10,2,first,2,"{'round': 10, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 9, 'chips': '9;5;7', 'betting_history': 'bet,fold,raise,raise,call', 'highest_bet': 3, 'last_bettor': 0}","[2, 3, 4]",2,-5,True
20250401144519,10,0,second,0,"{'round': 10, 'stage': 'second', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 9, 'chips': '9;5;7', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,6,False
20250401144520,10,1,second,2,"{'round': 10, 'stage': 'second', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 10, 'chips': '9;5;6', 'betting_history': 'check,bet', 'highest_bet': 4, 'last_bettor': 2}","[0, 1]",1,-5,True
20250401144521,10,2,second,0,"{'round': 10, 'stage': 'second', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 11, 'chips': '8;5;6', 'betting_history': 'check,bet,call', 'highest_bet': 4, 'last_bettor': 2}","[2, 3, 4]",2,6,True
20250401144523,11,1,first,0,"{'round': 11, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 4, 'chips': '17;4;5', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,-5,True
20250401144524,11,2,first,1,"{'round': 11, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 5, 'chips': '17;3;5', 'betting_history': 'bet,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,-4,True
20250401144525,11,3,first,2,"{'round': 11, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 6, 'chips': '17;3;4', 'betting_history': 'bet,call,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,9,True
20250401144526,11,1,second,0,"{'round': 11, 'stage': 'second', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 7, 'chips': '16;3;4', 'betting_history': 'bet', 'highest_bet': 2, 'last_bettor': 0}","[0, 1]",1,-5,False
20250401144527,11,1,second,1,"{'round': 11, 'stage': 'second', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 9, 'chips': '16;1;4', 'betting_history': 'bet,raise', 'highest_bet': 3, 'last_bettor': 1}","[2, 3, 4]",4,-4,False
20250401144528,11,1,second,2,"{'round': 11, 'stage': 'second', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 12, 'chips': '16;1;1', 'betting_history': 'bet,raise,raise', 'highest_bet': 4, 'last_bettor': 2}","[2, 3, 4]",4,9,True
20250401144529,11,2,second,0,"{'round': 11, 'stage': 'second', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 14, 'chips': '14;1;1', 'betting_history': 'bet,raise,raise,call', 'highest_bet': 4, 'last_bettor': 2}","[2, 3, 4]",2,-5,True
20250401144530,11,3,second,1,"{'round': 11, 'stage': 'second', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 14, 'chips': '14;1;1', 'betting_history': 'bet,raise,raise,call,fold', 'highest_bet': 4, 'last_bettor': 2}","[2, 3]",3,-4,True
20250401144532,12,1,first,0,"{'round': 12, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 4, 'chips': '12;0;14', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,15,True
20250401144533,12,2,first,1,"{'round': 12, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 4, 'chips': '12;0;14', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144534,12,3,first,2,"{'round': 12, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 5, 'chips': '12;0;13', 'betting_history': 'bet,fold,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,-14,True
20250401144535,12,1,second,0,"{'round': 12, 'stage': 'second', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 6, 'chips': '11;0;13', 'betting_history': 'bet', 'highest_bet': 2, 'last_bettor': 0}","[0, 1]",1,15,False
20250401144536,12,1,second,2,"{'round': 12, 'stage': 'second', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 16, 'chips': '11;0;3', 'betting_history': 'bet,raise', 'highest_bet': 11, 'last_bettor': 2}","[2, 3, 4]",4,-14,False
20250401144537,12,1,second,0,"{'round': 12, 'stage': 'second', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 27, 'chips': '0;0;3', 'betting_history': 'bet,raise,raise', 'highest_bet': 13, 'last_bettor': 0}","[2, 3, 4]",4,15,True
20250401144538,12,2,second,2,"{'round': 12, 'stage': 'second', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 29, 'chips': '0;0;1', 'betting_history': 'bet,raise,raise,call', 'highest_bet': 13, 'last_bettor': 0}","[2, 3, 4]",2,-14,True
20250401144540,13,0,first,0,"{'round': 13, 'stage': 'first', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 3, 'chips': '28;-1;0', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,2,True
20250401144541,13,1,first,1,"{'round': 13, 'stage': 'first', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 3, 'chips': '28;-1;0', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144542,13,2,first,2,"{'round': 13, 'stage': 'first', 'current_player': 2, 'player0_card': 'A', 'player1_card': 'K', 'player2_card': 'Q', 'pot': 3, 'chips': '28;-1;0', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144543,14,1,first,0,"{'round': 14, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '29;-2;-1', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,2,True
20250401144544,14,2,first,1,"{'round': 14, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '29;-2;-1', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144545,14,3,first,2,"{'round': 14, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '29;-2;-1', 'betting_history': 'bet,fold,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144546,15,0,first,0,"{'round': 15, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 3, 'chips': '32;-3;-2', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250401144547,15,1,first,1,"{'round': 15, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 3, 'chips': '32;-3;-2', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144548,15,2,first,2,"{'round': 15, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 3, 'chips': '32;-3;-2', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,2,True
20250401144549,16,1,first,0,"{'round': 16, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 4, 'chips': '30;-4;0', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,2,True
20250401144550,16,2,first,1,"{'round': 16, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 4, 'chips': '30;-4;0', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144551,16,3,first,2,"{'round': 16, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'A', 'player2_card': 'Q', 'pot': 4, 'chips': '30;-4;0', 'betting_history': 'bet,fold,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144552,17,0,first,0,"{'round': 17, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 3, 'chips': '33;-5;-1', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,2,True
20250401144553,17,1,first,1,"{'round': 17, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 3, 'chips': '33;-5;-1', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144554,17,2,first,2,"{'round': 17, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 3, 'chips': '33;-5;-1', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144555,18,1,first,0,"{'round': 18, 'stage': 'first', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 4, 'chips': '34;-6;-2', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,2,True
20250401144556,18,2,first,1,"{'round': 18, 'stage': 'first', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 4, 'chips': '34;-6;-2', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144557,18,3,first,2,"{'round': 18, 'stage': 'first', 'current_player': 2, 'player0_card': 'A', 'player1_card': 'J', 'player2_card': 'Q', 'pot': 4, 'chips': '34;-6;-2', 'betting_history': 'bet,fold,fold', 'highest_bet': 1, 'last_bettor': 0}",[3],3,-1,True
20250401144558,19,0,first,0,"{'round': 19, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '37;-7;-3', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250401144559,19,1,first,1,"{'round': 19, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '37;-7;-3', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144600,19,2,first,2,"{'round': 19, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '37;-7;-3', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,2,True
20250401144601,20,0,first,0,"{'round': 20, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 3, 'chips': '36;-8;-1', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250401144602,20,1,first,1,"{'round': 20, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 3, 'chips': '36;-8;-1', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,-1,True
20250401144603,20,2,first,2,"{'round': 20, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 3, 'chips': '36;-8;-1', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,2,True
